PKID|IDSucursal|IDReporteImpresion|IDNumCpContable|Codigo|Descripcion|Abreviacion|TipoCp|Numero|Serie|LongitudNumero|LongitudSerie|MaximoNumeroItems|PeriodoAnulacion|NumeracionAutomatica|NumeracionContable|RequiereMotivoAnulacion|GenerarNumeracionAlGuardar|PermitirFechasFuturas|PermitirFechasDiferidas|Imprimible|IDTipoComprobantePago|EsComprobantePago|IDImpuesto|TieneImpuesto|PreciosIncImpto|LibroDiario|Tercero|Activo|ResumirEnLibroAuxiliar|PermitirFechasPasadas|PercepcionSinMontoMinimo|IDFormatoImpresionElectronico|IDICB|TieneICB
600004705|1|54255AD9-7ADC-45D1-8268-B2116B32D461|0|01|FACTURA ELECTRONICA F005|F005|Venta|1|F005|8|4|10|3|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004706|300000004|54255AD9-7ADC-45D1-8268-B2116B32D461|0|01|FACTURA ELECTRONICA F006|F006|Venta|1|F006|8|4|10|3|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004707|300000005|54255AD9-7ADC-45D1-8268-B2116B32D461|0|01|FACTURA ELECTRONICA F007|F007|Venta|0||8|4|10|3|false|false|true|false|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004708|300000010|54255AD9-7ADC-45D1-8268-B2116B32D461|0|01|FACTURA ELECTRONICA F008|F008|Venta|1|F008|8|4|10|3|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004709|1|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN13 (RN)|FN13|NotaCredito|0||8|4|20|0|false|false|false|false|false|false|true|6|true|1|true|true|false|false|false|false|true|false||0|false
600004710|300000004|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN14 (RC)|FN14|NotaCredito|1|FN14|8|4|20|0|true|false|true|true|false|false|true|6|true|1|true|true|false|false|false|false|true|false||0|false
600004711|300000005|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN15 (RE)|FN15|NotaCredito|1|FN15|8|4|20|0|true|false|true|true|false|false|true|6|true|1|true|true|false|false|false|false|true|false||0|false
600004712|300000010|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN16 (RS)|FN16|NotaCredito|1|FN16|8|4|20|0|true|false|true|true|false|false|true|6|true|1|true|true|false|false|false|false|true|false||0|false
600004714|300000005|0|0|P03TP01|PEDIDO 03TP01|P03TP01|Pedido|3341|03TP01|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004715|300000005|0|0|P03TP02|PEDIDO 03TP02|P03TP02|Pedido|1282|03TP02|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004716|300000005|0|0|P03TP03|PEDIDO 03TP03|P03TP03|Pedido|1255|03TP03|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004717|300000005|0|0|P03TP04|PEDIDO 03TP04|P03TP04|Pedido|1247|03TP04|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004719|300000005|0|0|P03TP05|PEDIDO 03TP05|P03TP05|Pedido|2653|03TP05|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004720|300000005|0|0|P03TP06|PEDIDO 03TP06|P03TP06|Pedido|2043|03TP06|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
600004722|300000005|0|0|P03TP07|PEDIDO 03TP07|P03TP07|Pedido|2215|03TP07|7|6|100|365|true|false|false|true|true|true|false|0|false|1|true|true|false|false|true|false|false|false||0|false
