PKID|IDSucursal|IDReporteImpresion|IDNumCpContable|Codigo|Descripcion|Abreviacion|TipoCp|Numero|Serie|LongitudNumero|LongitudSerie|MaximoNumeroItems|PeriodoAnulacion|NumeracionAutomatica|NumeracionContable|RequiereMotivoAnulacion|GenerarNumeracionAlGuardar|PermitirFechasFuturas|PermitirFechasDiferidas|Imprimible|IDTipoComprobantePago|EsComprobantePago|IDImpuesto|TieneImpuesto|PreciosIncImpto|LibroDiario|Tercero|Activo|ResumirEnLibroAuxiliar|PermitirFechasPasadas|PercepcionSinMontoMinimo|IDFormatoImpresionElectronico|IDICB|TieneICB
600004619|300000010|54255AD9-7ADC-45D1-8268-B2116B32D461|0|01|FACTURA ELECTRONICA FS01|FS01|Venta|126405|FS01|8|4|10|2|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004620|300000010|E06B6591-5768-4262-BA7B-F31431011E51|0|01|TICKET FACTURA ELECTRONICA FTS1|FTS1|Venta|1|FTS1|8|4|13|0|true|false|true|true|true|false|true|1|true|1|true|true|false|false|false|false|true|false|0|0|false
600004621|300000010|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA BN40 (BOL)|BN40|NotaCredito|3452|BN40|8|4|20|1|true|false|true|true|true|false|true|6|true|1|true|true|false|false|false|false|false|false|0|0|false
600004622|300000010|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRONICA FN40 (FACT)|FN40|NotaCredito|1559|FN40|8|4|20|0|true|false|true|true|true|false|true|6|true|1|true|true|false|false|false|false|false|false|0|0|false
600004623|300000010|8CA6FEC0-B6E1-4E46-BAA4-A87BFD8F05AB|0|07|NOTA DE CREDITO ELECTRÓNICA BV_FV|N41|NotaCredito|19558|N41|8|3|20|0|true|false|true|true|true|false|true|6|true|1|true|true|false|false|false|false|false|false|0|0|false
600004624|300000010|97ADB92A-4AF3-4F34-80BD-56B3884B31FE|154|04VS01|GUIA INTERNA ENTRADA BONIFICACION SUR|04GEB|Inventario|0||7|3|20|0|false|true|false|false|false|false|true|28|true|1|true|true|false|false|false|false|false|false|0|0|false
600004625|300000010|A9343300-5F4C-4DBD-A925-08B1F05619FD|148|04VS02|GUIA INTERNA SALIDA BONIFICACION SUR|04GSB|Inventario|6|040|7|4|20|1|true|true|false|false|false|false|true|0|false|1|true|true|false|false|false|false|false|false|0|0|false
600004626|300000010|D436662D-5972-4B8C-81C9-D5EC888591A5|163|0403|GUIA REMISION SALIDA SUR 0041|GRS|Inventario|9155|0041|7|4|20|1|true|true|false|false|true|false|true|8|true|1|true|false|false|false|true|false|true|false|0|0|false
600004627|300000010|97ADB92A-4AF3-4F34-80BD-56B3884B31FE|162|0404|GUIA REMISION ENTRADA SUR|GRE|Inventario|0||7|4|20|30|false|true|false|false|false|false|true|8|true|1|true|true|false|false|true|false|true|false|0|0|false
600004628|300000010|97ADB92A-4AF3-4F34-80BD-56B3884B31FE|156|0406|GUIA INTERNA ENTRADA SOBRANTES-T SUR|GES|Inventario|1850|42|7|4|20|1|true|true|false|false|false|false|true|0|false|1|true|true|false|false|true|false|true|false|0|0|false
